Common Name,Scientific Name
Ringed Seal,(Pusa hispida)
Caribou,(Rangifer tarandus)
Eastern Harvest Mouse,(Reithrodontomys humulis)
Western Harvest Mouse,(Reithrodontomys megalotis)
Abert's Squirrel,(Sciurus aberti)
Eastern Gray Squirrel,(Sciurus carolinensis)
Western Gray Squirrel,(Sciurus griseus)
Eastern Fox Squirrel,(Sciurus niger)
Hispid Cotton Rat,(Sigmodon hispidus)
Pygmy Shrew,(Sorex hoyi)
Western Spotted Skunk,(Spilogale gracilis)
Eastern Spotted Skunk,(Spilogale putorius)
Pantropical Spotted Dolphin,(Stenella attenuata)
Clymene Dolphin,(Stenella clymene)
Striped Dolphin,(Stenella coeruleoalba)
Atlantic Spotted Dolphin,(Stenella frontalis)
Spinner Dolphin,(Stenella longirostris)
Rough-toothed Dolphin,(Steno bredanensis)
Swamp Rabbit,(Sylvilagus aquaticus)
Desert Cottontail,(Sylvilagus audubonii)
Brush Rabbit,(Sylvilagus bachmani)
Eastern Cottontail,(Sylvilagus floridanus)
Mountain Cottontail,(Sylvilagus nuttallii)
Appalachian Cottontail,(Sylvilagus obscurus)
Marsh Rabbit,(Sylvilagus palustris)
New England Cottontail,(Sylvilagus transitionalis)
Southern Bog Lemming,(Synaptomys cooperi)
Brazilian Free-tailed Bat,(Tadarida brasiliensis)
Alpine Chipmunk,(Tamias alpinus)
Yellow-pine Chipmunk,(Tamias amoenus)
Cliff Chipmunk,(Tamias dorsalis)
Least Chipmunk,(Tamias minimus)
Colorado Chipmunk,(Tamias quadrivittatus)
Hopi Chipmunk,(Tamias rufus)
Eastern Chipmunk,(Tamias striatus)
Douglas' Squirrel,(Tamiasciurus douglasii)
Red Squirrel,(Tamiasciurus hudsonicus)
American Badger,(Taxidea taxus)
White-lipped Peccary,(Tayassu pecari)
Botta's Pocket Gopher,(Thomomys bottae)
Northern Pocket Gopher,(Thomomys talpoides)
West Indian Manatee,(Trichechus manatus)
Bottlenose Dolphin,(Tursiops truncatus)
Uinta Ground Squirrel,(Urocitellus armatus)
Belding's Ground Squirrel,(Urocitellus beldingi)
Idaho Ground Squirrel,(Urocitellus brunneus)
Columbian Ground Squirrel,(Urocitellus columbianus)
Wyoming Ground Squirrel,(Urocitellus elegans)
Arctic Ground Squirrel,(Urocitellus parryii)
Richardson's Ground Squirrel,(Urocitellus richardsonii)
Common Gray Fox,(Urocyon cinereoargenteus)
Island Gray Fox,(Urocyon littoralis)
American Black Bear,(Ursus americanus)
Brown Bear,(Ursus arctos)
Polar Bear,(Ursus maritimus)
Arctic Fox,(Vulpes lagopus)
Kit Fox,(Vulpes macrotis)
Swift Fox,(Vulpes velox)
Red Fox,(Vulpes vulpes)
Spotted Ground Squirrel,(Xerospermophilus spilosoma)
Round-tailed Ground Squirrel,(Xerospermophilus tereticaudus)
California Sea Lion,(Zalophus californianus)
Meadow Jumping Mouse,(Zapus hudsonius)
Western Jumping Mouse,(Zapus princeps)
